owner_id,battlewin_attacker,castle_level,dollarsum,gameage,quest_complete
2147244485,1,1,0,0,0
2147217646,0,1,0,0,0
2146760222,0,1,0,0,0
2146695990,0,1,0,0,0
2146677071,2,1,0,0,0
2146653865,0,1,0,0,0
2146132256,0,1,0,0,0
2146077794,3,2,0,0,0
2146076603,0,4,0,0,0
2145871710,2,2,0,0,0
2145773120,2,2,0,0,0
2145526610,1,1,0,0,0
2144990488,2,3,0,0,0
2144924124,11,4,10,0,0
2144783413,1,2,0,0,0
